SampleID	YearDay	Bacteria_abundance	Projected_Daily_Insolation	Temp	MLLW	Salinity	Oxygen_Saturation	pH	DIC	Chlorophyll	NH4	NO2.NO3	PO4	SiO4
PID126	19	1362561.576	219.38	8.2	0.48	32	99.4	7.93	1984.69	3.03	97.61	0.04	0.07	2.09
PID127	26	2083018.868	231.74	7.4	0.62	32	99.8	7.92	1971	3.61	390.63	0.02	0.05	1.79
PID129	33	2335241	245.96	9.4	0.69	32	102.6	7.91	1989.22	3.25	156.5	0	0.04	1.34
PID130	40	2559090.909	261.79	9.3	0.72	31	98.3	7.9	1935.01	3.9	226.96	0	0.05	2.63
PID131	47	2958974.359	278.76	8.9	0.03	32	104.9	7.92	1967.62	4.1	167.46	0	0.04	1.92
PID132	54	1737142.857	296.61	9.9	0.89	35	103.5	7.93	2073.19	2.45	174.05	0	0.04	0.92
PID133	61	3825000	314.88	12.2	0.35	34	97.9	7.91	2049.99	2.69	136.99	0	0.06	1.38
PID134	68	2608064.516	333.18	12.5	0.92	34	102.5	7.92	2079.53	2.3	438.29	0	0.04	1.29
PID135	75	4474074.074	351.32	13.8	0.12	29	102.6	7.9	1956.55	3.49	580.68	0.09	0.06	1.86
PID136	82	2475630.252	368.83	15.5	1	34	104.4	7.94	2093.63	2.97	172.84	0	0.03	0.55
PID137	89	3600000	385.59	11.8	0.22	30	100.9	7.88	1956.47	5.21	240.85	0	0.03	3
PID140	110	2404838.71	429.12	19.3	0.93	35	104	7.97	2108.42	2.61	316.35	0	0.05	0.56
PID141	117	3383505.155	441	24	0.01	33	95.7	7.95	2106.09	3.69	356.04	0.08	0.07	2.07
PID142	124	1983333.333	451.41	22	0.62	34	102.1	7.99	2134.47	2.87	283.03	0.07	0.07	1.47
PID143	131	3681081.081	460.38	21.5	0.44	35	99	7.96	2184.09	5.32	160.19	0	0.1	5.89
PID144	138	2523529.412	467.67	22.3	0.92	35	90.6	7.97	2157.36	2.85	103.53	0	0.11	2.92
PID145	145	2637735.849	473.88	25.8	0.34	35	101.7	7.97	2189.13	4.74	118.24	0.04	0.07	5.32
PID146	152	4380821.918	478.49	26.8	0.52	34	95.6	8.01	2187.96	5.01	83.2	0	0.04	5.26
PID147	159	3616981.132	481.51	26.5	0.5	35	103.5	8.05	2160.13	4.3	174.29	0	0.07	2.64
PID149	166	5278378.378	483.07	26.4	0.61	36	100.7	8.06	2177.76	3.13	181.56	0	0.12	2.99
PID207	173	4035000	483.16	27.1	0.81	36	99.2	8.03	2114.98	3.53	226.86	0	0.06	4.85
PID232	180	4594285.714	481.74	27.6	0.28	37	96.1	8.06	2164.43	5.19	132.45	0	0.07	5.92
PID238	187	4531578.947	478.78	27.5	0.81	37	105.5	8.04	2156.75	4.25	149.82	0	0.06	2.75
PID239	194	4308510.638	474.4	28.7	0.28	37	103.4	8.05	2138.96	4.6	168.88	0	0.07	3.45
PID240	201	3903030.303	468.56	28.2	0.94	37	100.2	8.03	2114.5	4.36	142.35	0	0.14	1.9
PID241	208	3640776.699	461.25	28	0.21	38	93.6	8.02	2142.25	5.19	113.65	0	0.17	6.1
PID242	215	3617821.782	452.49	29.4	1.22	38	99.2	8.04	2129.99	3.62	181.59	0	0.09	1.81
PID243	222	4618421.053	442.52	29.7	0.22	35	92.1	8.04	2141.63	6.67	247.18	0	0.09	5.48
PID244	229	3556701.031	431.24	29	1.13	34	103	8.08	2106.39	3.26	193.37	0	0.07	2.42
PID245	236	2969696.97	418.88	27.8	0.31	35	90	8.02	2156.02	5.81	319.94	0	0.13	4.36
PID246	242	4058823.529	407.18	27.3	1.09	31	94.1	7.91	1926.75	10.85	1507.72	1.53	0.09	25.27
PID247	249	2934653.465	392.56	28	0.25	31	97.1	7.94	1986.3	7.96	218.94	0.09	0.03	13.95
PID248	256	3096000	377.01	27.4	1.08	32	90.5	7.98	2072.11	6.09	222.67	0	0.09	4.89
