year, month, chlorophyll (mg/m3), phytoplankton (mmol/m3)
1993, 1, 0.187985, 1.437864
1993, 2, 0.179859, 1.486285
1993, 3, 0.175448, 1.538754
1993, 4, 0.168149, 1.538369
1993, 5, 0.161797, 1.469383
1993, 6, 0.163477, 1.407712
1993, 7, 0.177143, 1.393329
1993, 8, 0.190491, 1.455449
1993, 9, 0.185880, 1.493489
1993, 10, 0.183296, 1.486603
1993, 11, 0.182836, 1.464978
1993, 12, 0.186235, 1.430275
1994, 1, 0.192933, 1.452056
1994, 2, 0.191388, 1.494999
1994, 3, 0.184747, 1.559212
1994, 4, 0.179678, 1.547038
1994, 5, 0.177517, 1.493712
1994, 6, 0.177191, 1.420174
1994, 7, 0.193555, 1.425638
1994, 8, 0.196929, 1.436001
1994, 9, 0.189632, 1.453811
1994, 10, 0.175775, 1.490593
1994, 11, 0.163445, 1.452131
1994, 12, 0.163660, 1.378287
1995, 1, 0.170414, 1.377051
1995, 2, 0.165530, 1.453163
1995, 3, 0.170906, 1.480164
1995, 4, 0.174707, 1.523632
1995, 5, 0.179355, 1.485008
1995, 6, 0.177815, 1.451107
1995, 7, 0.187129, 1.435321
1995, 8, 0.205033, 1.478556
1995, 9, 0.224374, 1.549460
1995, 10, 0.223523, 1.564574
1995, 11, 0.221103, 1.522808
1995, 12, 0.215026, 1.507744
1996, 1, 0.204268, 1.485126
1996, 2, 0.200152, 1.502342
1996, 3, 0.192082, 1.562140
1996, 4, 0.183156, 1.551593
1996, 5, 0.181358, 1.471695
1996, 6, 0.187841, 1.426682
1996, 7, 0.198252, 1.424308
1996, 8, 0.211579, 1.469168
1996, 9, 0.216356, 1.504007
1996, 10, 0.210607, 1.517716
1996, 11, 0.211600, 1.516199
1996, 12, 0.212925, 1.463492
1997, 1, 0.211584, 1.468497
1997, 2, 0.201086, 1.473002
1997, 3, 0.192562, 1.532792
1997, 4, 0.181249, 1.528085
1997, 5, 0.165849, 1.423220
1997, 6, 0.158014, 1.373917
1997, 7, 0.155510, 1.318359
1997, 8, 0.148827, 1.299401
1997, 9, 0.134450, 1.258977
1997, 10, 0.117208, 1.233363
1997, 11, 0.105342, 1.152487
1997, 12, 0.117644, 1.125156
1998, 1, 0.126572, 1.168528
1998, 2, 0.134888, 1.260614
1998, 3, 0.133082, 1.313393
1998, 4, 0.140801, 1.359285
1998, 5, 0.158122, 1.431737
1998, 6, 0.281091, 1.838528
1998, 7, 0.329456, 2.000093
1998, 8, 0.284820, 1.803366
1998, 9, 0.250784, 1.726577
1998, 10, 0.252241, 1.685541
1998, 11, 0.244060, 1.659416
1998, 12, 0.257083, 1.668390
1999, 1, 0.232307, 1.606392
1999, 2, 0.218559, 1.612134
1999, 3, 0.213032, 1.652087
1999, 4, 0.206201, 1.614389
1999, 5, 0.206554, 1.546820
1999, 6, 0.211335, 1.470650
1999, 7, 0.220166, 1.444387
1999, 8, 0.237181, 1.503400
1999, 9, 0.232261, 1.577797
1999, 10, 0.227355, 1.539996
1999, 11, 0.232564, 1.529220
1999, 12, 0.241067, 1.528381
2000, 1, 0.246470, 1.537412
2000, 2, 0.228246, 1.586832
2000, 3, 0.218593, 1.633147
2000, 4, 0.209490, 1.613503
2000, 5, 0.208552, 1.537446
2000, 6, 0.214933, 1.446411
2000, 7, 0.220815, 1.432462
2000, 8, 0.224755, 1.432530
2000, 9, 0.217666, 1.480228
2000, 10, 0.217928, 1.462388
2000, 11, 0.216062, 1.474338
2000, 12, 0.217697, 1.477190
2001, 1, 0.214495, 1.490191
2001, 2, 0.214143, 1.530039
2001, 3, 0.212432, 1.599745
2001, 4, 0.205703, 1.571908
2001, 5, 0.203848, 1.489840
2001, 6, 0.203154, 1.429981
2001, 7, 0.210917, 1.401357
2001, 8, 0.220644, 1.429313
2001, 9, 0.214627, 1.469275
2001, 10, 0.207341, 1.476141
2001, 11, 0.208315, 1.459959
2001, 12, 0.212273, 1.456014
2002, 1, 0.202927, 1.440176
2002, 2, 0.194707, 1.465477
2002, 3, 0.194233, 1.493831
2002, 4, 0.192718, 1.531836
2002, 5, 0.190941, 1.506174
2002, 6, 0.182431, 1.434649
2002, 7, 0.191826, 1.409409
2002, 8, 0.194979, 1.394238
2002, 9, 0.184695, 1.422345
2002, 10, 0.173902, 1.406350
2002, 11, 0.166455, 1.360947
2002, 12, 0.170922, 1.353220
2003, 1, 0.180743, 1.367598
2003, 2, 0.189435, 1.446348
2003, 3, 0.194655, 1.517602
2003, 4, 0.200607, 1.537052
2003, 5, 0.214253, 1.526662
2003, 6, 0.208361, 1.504414
2003, 7, 0.208228, 1.426488
2003, 8, 0.225843, 1.478748
2003, 9, 0.214572, 1.520837
2003, 10, 0.206855, 1.516652
2003, 11, 0.204693, 1.481917
2003, 12, 0.200623, 1.435816
2004, 1, 0.204168, 1.462206
2004, 2, 0.202515, 1.491912
2004, 3, 0.203456, 1.537227
2004, 4, 0.202031, 1.548369
2004, 5, 0.196850, 1.482930
2004, 6, 0.201198, 1.409670
2004, 7, 0.206526, 1.445790
2004, 8, 0.202054, 1.393414
2004, 9, 0.201156, 1.463962
2004, 10, 0.201260, 1.470831
2004, 11, 0.198702, 1.467309
2004, 12, 0.196593, 1.443174
2005, 1, 0.201437, 1.426505
2005, 2, 0.202487, 1.472512
2005, 3, 0.195222, 1.519437
2005, 4, 0.189238, 1.488795
2005, 5, 0.190800, 1.488006
2005, 6, 0.197490, 1.440030
2005, 7, 0.210386, 1.434320
2005, 8, 0.228315, 1.506570
2005, 9, 0.226151, 1.525744
2005, 10, 0.220852, 1.524296
2005, 11, 0.225693, 1.509800
