,Dates,Chlorophyll-a (μg/L),Salinity (psu),Temperature (°C),Total Nitrogen (mg/L),Total Phosphorus (mg/L),Turbidity (NTU),Dissolved Oxygen (mg/L)
0,1986-01-30,,32.5,16.6,,,19.0,
1,1986-03-14,,32.0,15.5,,,5.5,
2,1986-05-19,,31.6,,,,1.0,
3,1986-07-14,<0.2,27.9,24.8,0.51,0.05,9.7,5.3
4,1986-09-29,5.5,31.0,27.6,0.35,0.03,66.0,5.0
5,1986-11-27,1.1,33.4,21.1,0.48,0.05,9.3,5.7
6,1987-01-19,6.1,30.9,18.2,0.51,0.14,3.7,8.5
7,1987-03-23,<0.2,27.3,22.1,0.55,0.14,3.8,6.7
8,1987-05-25,<0.2,28.4,24.7,0.74,0.04,21.0,5.2
9,1987-07-14,,31.1,23.8,,,,
10,1987-07-24,1.5,30.0,24.8,0.34,0.06,8.6,3.2
11,1987-07-27,1.1,31.1,23.2,1.13,0.16,,
12,1987-08-07,1.5,30.7,23.8,0.69,0.09,,
13,1987-08-21,,30.1,26.4,,,,
14,1987-09-21,0.6,29.8,27.7,0.84,0.12,42.0,4.0
15,1987-11-17,<0.2,32.9,23.6,1.14,0.07,30.0,5.9
16,1988-01-12,2.5,31.0,18.2,0.51,0.03,6.9,7.9
17,1988-03-24,1.5,31.5,16.8,0.96,0.05,7.1,6.6
18,1988-05-16,1.3,29.5,24.7,0.81,0.05,71.3,5.6
19,1988-07-15,2.9,30.5,24.7,0.61,0.05,10.0,4.1
20,1988-09-08,14,32.6,22.9,0.99,0.1,12.1,3.2
21,1988-11-22,0.7,31.4,20.6,0.43,0.06,23.9,6.1
22,1989-01-17,0.2,31.9,16.3,0.45,0.02,7.5,7.0
23,1989-03-28,0.8,32.4,17.0,0.39,0.03,11.8,6.6
24,1989-05-22,1.1,26.0,24.3,0.88,0.04,7.4,5.8
25,1989-07-24,1.7,28.2,26.9,0.48,0.07,25.0,5.1
26,1989-09-22,0.7,30.6,28.0,0.51,0.04,10.2,4.1
27,1989-11-20,1,31.9,21.5,0.43,0.06,10.7,5.9
28,1990-01-19,1.8,30.7,17.5,0.59,0.2,3.9,6.2
29,1990-03-23,1.9,28.9,19.1,0.81,0.04,3.5,8.3
30,1990-05-22,2.9,30.3,24.2,0.97,0.16,2.2,8.3
31,1990-07-23,1.3,28.7,25.4,0.88,0.05,7.4,4.1
32,1990-09-24,0.8,29.1,28.3,1.28,0.07,10.0,4.9
33,1990-11-13,2.4,30.0,26.1,0.5,0.06,12.1,7.3
34,1991-01-14,1.1,32.4,16.3,0.55,0.06,8.2,11.1
35,1991-03-22,2.4,30.3,20.8,0.68,0.12,1.8,7.3
36,1991-05-29,3.2,29.7,24.3,0.41,0.06,3.9,6.4
37,1991-07-22,1.1,31.6,22.4,0.86,0.08,5.1,3.2
38,1991-09-09,<0.2,28.6,24.1,0.87,0.21,25.0,4.6
39,1991-11-22,1,32.6,21.7,0.46,0.16,13.0,7.0
40,1992-01-29,0.5,31.4,12.1,0.39,0.12,4.2,8.1
41,1992-03-13,<0.2,31.2,16.4,0.75,0.1,15.0,7.0
42,1992-05-14,0.5,28.2,23.3,0.48,0.12,13.0,5.7
43,1992-07-15,0.5,24.3,25.1,0.7,0.06,3.5,4.3
44,1992-09-23,1.1,30.7,28.1,0.58,0.13,32.0,5.1
45,1992-11-13,0.2,32.9,21.2,0.86,0.11,26.0,7.9
46,1993-01-29,0.9,33.5,15.0,0.59,0.22,33.0,15.6
47,1993-03-29,0.3,31.9,20.4,0.8,0.2,11.0,6.4
48,1993-05-14,0.4,27.3,23.8,0.65,0.09,55.1,5.7
49,1993-07-28,0.5,31.8,23.6,0.81,0.1,42.8,3.9
50,1993-09-15,0.8,30.2,28.0,0.47,0.06,9.9,5.1
51,1993-11-11,1.6,30.9,24.1,0.93,0.08,9.3,6.5
52,1994-01-06,<0.2,30.9,18.0,0.58,0.05,9.9,7.1
53,1994-03-09,2.9,32.4,17.8,0.71,0.08,17.7,7.4
54,1994-05-05,0.3,32.5,23.9,0.38,0.07,19.3,5.0
55,1994-07-28,<0.2,27.1,25.3,1.18,0.1,25.1,4.5
56,1994-09-08,0.2,27.1,27.6,0.75,0.08,19.0,5.3
57,1994-11-10,0.5,28.5,23.9,0.79,0.05,181.2,4.4
58,1995-01-06,0.3,33.0,18.2,0.61,0.13,68.7,6.5
59,1995-03-09,0.8,30.4,16.2,0.63,0.07,12.0,7.2
60,1995-05-04,7.2,30.1,23.9,0.48,0.04,10.8,9.0
61,1995-07-06,0.4,30.4,24.7,0.38,0.06,5.8,4.0
62,1995-09-13,2,27.0,27.8,0.79,0.05,10.8,4.5
63,1995-11-08,1.1,32.8,23.9,0.28,0.12,7.8,6.5
64,1996-01-10,1,33.9,18.2,0.3,0.35,14.2,5.1
65,1996-03-07,2.5,33.5,17.7,0.32,0.08,6.8,6.8
66,1996-05-06,1.2,29.6,22.7,0.46,0.14,9.2,5.7
67,1996-07-04,1.6,26.9,25.4,0.53,0.09,10.0,4.7
68,1996-09-05,1.4,30.5,25.0,0.39,0.1,5.9,3.7
69,1996-11-06,0.7,31.9,26.2,0.7,0.13,6.6,6.1
70,1997-01-06,1,31.2,19.0,1.26,0.14,1.7,6.8
71,1997-03-05,2.9,31.4,17.7,0.59,0.09,13.8,4.0
72,1997-05-05,0.3,29.7,23.4,1.32,0.05,7.3,5.3
73,1997-07-16,1.2,31.7,23.5,1.1,0.06,6.6,3.6
74,1997-09-11,1,30.6,24.7,0.98,0.09,3.3,3.6
75,1997-11-12,1.2,31.1,24.0,1.26,0.07,10.7,6.1
76,1998-01-14,2.3,31.6,20.7,1.33,0.11,7.5,6.5
77,1998-03-09,1.1,30.9,17.6,1.14,0.06,7.3,8.1
78,1998-05-08,1.9,29.8,24.9,1.37,0.07,5.2,4.8
79,1998-07-15,0.3,24.8,25.9,1.03,0.08,46.4,3.2
80,1998-09-14,0.8,29.8,26.8,1.35,0.1,6.5,4.0
81,1998-11-09,2,31.5,24.6,1.05,0.07,12.9,5.9
82,1999-01-15,2.2,31.3,17.4,0.4,0.03,3.9,5.4
83,1999-02-26,2.6,32.2,18.8,0.44,0.03,3.9,8.2
84,1999-03-15,0.6,33.2,19.9,0.44,0.03,5.1,7.1
85,1999-04-19,3.2,32.2,24.4,0.56,0.06,14.6,5.7
86,1999-05-24,1.8,30.3,25.5,0.49,0.05,13.0,5.7
87,1999-06-24,1.3,28.9,26.5,0.65,0.05,16.0,2.9
88,1999-07-09,0.6,31.3,24.5,0.61,0.05,16.8,2.2
89,1999-08-27,0.6,27.8,25.3,0.49,0.05,16.0,4.9
90,1999-09-27,<0.2,30.9,26.3,0.33,0.05,19.4,5.0
91,1999-10-25,2.5,31.6,26.3,0.25,0.04,17.5,6.2
92,1999-11-12,1.1,31.0,24.4,0.48,0.05,7.5,7.3
93,1999-12-03,4.2,31.2,21.5,0.3,0.02,10.1,7.0
94,2000-01-12,20,29.1,18.1,0.52,0.04,7.0,8.6
95,2000-02-17,3.2,31.7,17.3,0.33,0.03,7.5,7.6
96,2000-03-17,1.5,30.5,17.3,0.5,0.05,6.3,6.8
97,2000-04-27,0.4,30.9,23.1,0.38,0.04,15.5,5.9
98,2000-05-19,1.6,30.2,25.7,0.41,0.04,16.2,4.9
99,2000-06-16,<0.2,29.2,24.8,0.64,0.06,24.3,3.0
100,2000-07-17,1.1,27.9,27.8,0.49,0.06,2.8,5.1
101,2000-08-28,0.9,30.5,24.7,0.48,0.05,19.4,3.7
102,2000-09-20,0.6,31.1,27.0,0.33,0.05,42.5,6.4
103,2000-10-13,0.7,31.3,28.0,0.45,0.08,17.9,4.4
104,2000-11-20,0.4,32.7,22.6,0.33,0.05,14.1,6.1
105,2000-12-11,6.6,32.0,21.6,0.46,0.05,14.6,6.6
106,2001-01-15,2,30.8,18.4,0.4,0.06,20.5,7.8
107,2001-02-08,<0.2,31.4,16.8,0.51,0.07,23.8,6.9
108,2001-03-09,2.9,31.6,18.1,0.41,0.05,22.4,7.2
109,2001-04-06,0.7,30.5,21.8,0.7,0.05,26.4,6.2
110,2001-05-10,0.6,30.6,24.9,0.45,0.07,43.6,6.3
111,2001-06-13,1.1,27.7,26.5,0.67,0.08,12.3,4.5
112,2001-07-27,0.8,20.3,26.6,0.88,0.06,18.1,5.3
113,2001-08-16,2.4,30.6,25.6,0.33,0.04,15.6,2.5
114,2001-09-14,1,29.7,27.5,0.42,0.05,17.9,4.5
115,2001-10-10,1.2,30.3,28.1,0.51,0.06,21.6,4.4
116,2001-11-21,1.2,31.9,21.9,0.65,0.05,46.3,5.0
117,2001-12-11,0.8,31.4,21.3,0.44,0.08,23.6,5.0
